,location_url,route_url,state
53,http://www.mountainproject.com/v/echo-dome/105914624,http://www.mountainproject.com/v/crack-pipe/105914645,Oklahoma
54,http://www.mountainproject.com/v/casket-quarry-duluth/105894082,http://www.mountainproject.com/v/h-strike-three/106076783,Minnesota
55,http://www.mountainproject.com/v/casket-quarry-duluth/105894082,http://www.mountainproject.com/v/v-thin-and-bear-it/105922954,Minnesota
56,http://www.mountainproject.com/v/pot-holes-area/105813128,http://www.mountainproject.com/v/slicksides/105848957,Minnesota
57,http://www.mountainproject.com/v/pot-holes-area/105813128,http://www.mountainproject.com/v/the-real-thing/105848885,Minnesota
58,http://www.mountainproject.com/v/minnesota-strip/105813134,http://www.mountainproject.com/v/-number-6-aka-the-bulge/105826937,Minnesota
59,http://www.mountainproject.com/v/minnesota-strip/105813134,http://www.mountainproject.com/v/fancy-dancer/105831001,Minnesota
60,http://www.mountainproject.com/v/minnesota-strip/105813134,http://www.mountainproject.com/v/column-direct/105826799,Minnesota
61,http://www.mountainproject.com/v/minnesota-strip/105813134,http://www.mountainproject.com/v/pink-pants-delight-unknown/106125135,Minnesota
62,http://www.mountainproject.com/v/minnesota-strip/105813134,http://www.mountainproject.com/v/good-knight/105844626,Minnesota
63,http://www.mountainproject.com/v/minnesota-strip/105813134,http://www.mountainproject.com/v/piece-of-cake/105826312,Minnesota
64,http://www.mountainproject.com/v/minnesota-strip/105813134,http://www.mountainproject.com/v/fallen-knight/105844633,Minnesota
65,http://www.mountainproject.com/v/minnesota-strip/105813134,http://www.mountainproject.com/v/piece-of-pie/105833080,Minnesota
66,http://www.mountainproject.com/v/keyhole-area/105813137,http://www.mountainproject.com/v/double-cracks-aka-hamburger-crack/105826785,Minnesota
67,http://www.mountainproject.com/v/keyhole-area/105813137,http://www.mountainproject.com/v/keyhole-direct/105826778,Minnesota
68,http://www.mountainproject.com/v/keyhole-area/105813137,http://www.mountainproject.com/v/keyhole-direct-direct/106444785,Minnesota
69,http://www.mountainproject.com/v/cyclops-area/105813063,http://www.mountainproject.com/v/suicide-squeeze/105820229,Minnesota
70,http://www.mountainproject.com/v/cyclops-area/105813063,http://www.mountainproject.com/v/wasp-mentality/105819431,Minnesota
71,http://www.mountainproject.com/v/cyclops-area/105813063,http://www.mountainproject.com/v/sleeping-bat-in-a-ziplock-bag/105824443,Minnesota
72,http://www.mountainproject.com/v/cyclops-area/105813063,http://www.mountainproject.com/v/big-rocks-remembered/105824451,Minnesota
73,http://www.mountainproject.com/v/cyclops-area/105813063,http://www.mountainproject.com/v/forearm-smash/105819435,Minnesota
74,http://www.mountainproject.com/v/cyclops-area/105813063,http://www.mountainproject.com/v/urban-chunks/105824447,Minnesota
75,http://www.mountainproject.com/v/cyclops-area/105813063,http://www.mountainproject.com/v/pigeon-paranoia/105824459,Minnesota
76,http://www.mountainproject.com/v/cyclops-area/105813063,http://www.mountainproject.com/v/sobriety/105817169,Minnesota
77,http://www.mountainproject.com/v/winter-wall/105813066,http://www.mountainproject.com/v/chinese-freedom/105826213,Minnesota
78,http://www.mountainproject.com/v/winter-wall/105813066,http://www.mountainproject.com/v/barnburner/105826227,Minnesota
79,http://www.mountainproject.com/v/winter-wall/105813066,http://www.mountainproject.com/v/jump-to-something-good/105927316,Minnesota
80,http://www.mountainproject.com/v/winter-wall/105813066,http://www.mountainproject.com/v/a-drilling-experience/105825176,Minnesota
81,http://www.mountainproject.com/v/winter-wall/105813066,http://www.mountainproject.com/v/foreign-affairs/105826209,Minnesota
82,http://www.mountainproject.com/v/winter-wall/105813066,http://www.mountainproject.com/v/jump-start/105825167,Minnesota
83,http://www.mountainproject.com/v/winter-wall/105813066,http://www.mountainproject.com/v/the-itch/105860473,Minnesota
84,http://www.mountainproject.com/v/winter-wall/105813066,http://www.mountainproject.com/v/the-go-between/105826205,Minnesota
85,http://www.mountainproject.com/v/winter-wall/105813066,http://www.mountainproject.com/v/pretty-in-pink/105825360,Minnesota
86,http://www.mountainproject.com/v/winter-wall/105813066,http://www.mountainproject.com/v/new-kids-on-the-rock/105825163,Minnesota
87,http://www.mountainproject.com/v/winter-wall/105813066,http://www.mountainproject.com/v/jam-and-jelly/105825604,Minnesota
88,http://www.mountainproject.com/v/winter-wall/105813066,http://www.mountainproject.com/v/barney-rubble-aka-birch-tree-crack/105825357,Minnesota
89,http://www.mountainproject.com/v/the-east-end/105813072,http://www.mountainproject.com/v/roof-burner/105826245,Minnesota
90,http://www.mountainproject.com/v/the-east-end/105813072,http://www.mountainproject.com/v/dead-dog-face/105826239,Minnesota
91,http://www.mountainproject.com/v/the-east-end/105813072,http://www.mountainproject.com/v/left-lane/105826254,Minnesota
92,http://www.mountainproject.com/v/the-east-end/105813072,http://www.mountainproject.com/v/prow-left-aka-pietro-loves-iris/106911343,Minnesota
93,http://www.mountainproject.com/v/the-east-end/105813072,http://www.mountainproject.com/v/prow-right-aka-dead-dog-arete-aka-gene-machine/106911310,Minnesota
94,http://www.mountainproject.com/v/the-east-end/105813072,http://www.mountainproject.com/v/sunburst/105826257,Minnesota
95,http://www.mountainproject.com/v/annadonia-area/105813076,http://www.mountainproject.com/v/the-future/106266364,Minnesota
96,http://www.mountainproject.com/v/annadonia-area/105813076,http://www.mountainproject.com/v/looking-for-lust/105825151,Minnesota
97,http://www.mountainproject.com/v/annadonia-area/105813076,http://www.mountainproject.com/v/annadonia/105825155,Minnesota
98,http://www.mountainproject.com/v/annadonia-area/105813076,http://www.mountainproject.com/v/stylin/105831552,Minnesota
99,http://www.mountainproject.com/v/annadonia-area/105813076,http://www.mountainproject.com/v/micro-balls/105827127,Minnesota
100,http://www.mountainproject.com/v/annadonia-area/105813076,http://www.mountainproject.com/v/out-of-control/105831548,Minnesota
101,http://www.mountainproject.com/v/annadonia-area/105813076,http://www.mountainproject.com/v/too-low-for-zero/105831472,Minnesota
102,http://www.mountainproject.com/v/annadonia-area/105813076,http://www.mountainproject.com/v/danger-high-boltage/105831469,Minnesota
103,http://www.mountainproject.com/v/annadonia-area/105813076,http://www.mountainproject.com/v/year-of-the-ankle/105827133,Minnesota
104,http://www.mountainproject.com/v/annadonia-area/105813076,http://www.mountainproject.com/v/freebase/105831462,Minnesota
105,http://www.mountainproject.com/v/annadonia-area/105813076,http://www.mountainproject.com/v/last-call-for-alcohol/105831596,Minnesota
106,http://www.mountainproject.com/v/annadonia-area/105813076,http://www.mountainproject.com/v/cardiac-standstill/105831459,Minnesota
107,http://www.mountainproject.com/v/annadonia-area/105813076,http://www.mountainproject.com/v/rude-awakening/105831593,Minnesota
108,http://www.mountainproject.com/v/annadonia-area/105813076,http://www.mountainproject.com/v/shower-the-people-you-love-with-bolts/106911358,Minnesota
109,http://www.mountainproject.com/v/annadonia-area/105813076,http://www.mountainproject.com/v/geriatric-sex-maniacs-from-mars/105831494,Minnesota
110,http://www.mountainproject.com/v/annadonia-area/105813076,http://www.mountainproject.com/v/rock-a-holics/105831465,Minnesota
