user_id,climb_id,star_rating,Unnamed: 0
10101,105752563,2.0,105752563_10101
10101,105763989,2.0,105763989_10101
10101,105847227,4.0,105847227_10101
10102,105825209,4.0,105825209_10102
10102,105827746,3.0,105827746_10102
10102,105931317,2.0,105931317_10102
10106,106821532,4.0,106821532_10106
10106,106825185,2.0,106825185_10106
10106,106892362,3.0,106892362_10106
10107,105749911,4.0,105749911_10107
10107,105749914,4.0,105749914_10107
10107,105756784,4.0,105756784_10107
10109,105748586,2.0,105748586_10109
10109,105748594,2.0,105748594_10109
10109,105882076,3.0,105882076_10109
10112,105870718,3.0,105870718_10112
10112,105870727,4.0,105870727_10112
10112,105871252,4.0,105871252_10112
10113,105751579,2.0,105751579_10113
10113,105752458,2.0,105752458_10113
10113,105756787,2.0,105756787_10113
10116,106737382,3.0,106737382_10116
10116,106799344,3.0,106799344_10116
10116,107378329,4.0,107378329_10116
10117,105749833,2.0,105749833_10117
10117,105751426,1.0,105751426_10117
10117,105763149,4.0,105763149_10117
10118,105905840,2.0,105905840_10118
10118,105977734,3.0,105977734_10118
10118,105978422,3.0,105978422_10118
10121,107148977,3.0,107148977_10121
10121,107161490,1.0,107161490_10121
10121,108317418,2.0,108317418_10121
10123,106029322,1.0,106029322_10123
10123,106029336,3.0,106029336_10123
10123,106029351,4.0,106029351_10123
10124,105764874,2.0,105764874_10124
10124,105764979,2.0,105764979_10124
10124,105765084,4.0,105765084_10124
10125,105753187,2.0,105753187_10125
10125,105753532,2.0,105753532_10125
10125,105756547,3.0,105756547_10125
10127,105750484,4.0,105750484_10127
10127,105750517,2.0,105750517_10127
10127,105751567,4.0,105751567_10127
10129,106254632,2.0,106254632_10129
10129,106384239,3.0,106384239_10129
10129,108095626,4.0,108095626_10129
10130,105753322,2.0,105753322_10130
10130,105758224,4.0,105758224_10130
10130,106194763,3.0,106194763_10130
10134,106099046,1.0,106099046_10134
10134,106099156,3.0,106099156_10134
10134,106099172,2.0,106099172_10134
10140,105759699,1.0,105759699_10140
10140,105759705,2.0,105759705_10140
10140,105762816,2.0,105762816_10140
10141,105762228,2.0,105762228_10141
10141,105762387,2.0,105762387_10141
10141,105763719,1.0,105763719_10141
10143,107235482,3.0,107235482_10143
10143,107706099,3.0,107706099_10143
10143,108008529,4.0,108008529_10143
10145,105753004,4.0,105753004_10145
10145,105753865,2.0,105753865_10145
10145,105754084,4.0,105754084_10145
10146,106204685,4.0,106204685_10146
10146,106886551,3.0,106886551_10146
10146,106911087,3.0,106911087_10146
10150,107603666,4.0,107603666_10150
10150,107744446,2.0,107744446_10150
10150,107744894,1.0,107744894_10150
10155,106039706,3.0,106039706_10155
10155,106045504,4.0,106045504_10155
10155,106124441,4.0,106124441_10155
10161,106359194,3.0,106359194_10161
10161,106613078,3.0,106613078_10161
10161,106749318,3.0,106749318_10161
10164,105953279,4.0,105953279_10164
10164,105966226,2.0,105966226_10164
10164,106884321,3.0,106884321_10164
10168,107963789,2.0,107963789_10168
10168,108174029,3.0,108174029_10168
10170,108209046,3.0,108209046_10170
10170,108939570,3.0,108939570_10170
10173,105924113,2.0,105924113_10173
10173,106051786,4.0,106051786_10173
10173,106054717,1.0,106054717_10173
10175,106125224,2.0,106125224_10175
10175,108151365,3.0,108151365_10175
10175,108161029,1.0,108161029_10175
10180,105755581,3.0,105755581_10180
10180,105849995,3.0,105849995_10180
10180,105918420,2.0,105918420_10180
10184,106940412,2.0,106940412_10184
10184,106958759,4.0,106958759_10184
10184,107293957,2.0,107293957_10184
10185,108408374,2.0,108408374_10185
10185,110479275,2.0,110479275_10185
10186,106760933,2.0,106760933_10186
10186,106760941,1.0,106760941_10186
10186,106813204,2.0,106813204_10186
10188,106843486,3.0,106843486_10188
10188,106865565,0.0,106865565_10188
10188,106888858,3.0,106888858_10188
10199,105758116,4.0,105758116_10199
10199,105761394,2.0,105761394_10199
10199,105764985,4.0,105764985_10199
10202,105805595,4.0,105805595_10202
10202,105920917,3.0,105920917_10202
10202,106459197,3.0,106459197_10202
10204,106449898,3.0,106449898_10204
10204,106821532,3.0,106821532_10204
10204,106821557,4.0,106821557_10204
10208,105761088,4.0,105761088_10208
10208,105761217,4.0,105761217_10208
10208,105762243,2.0,105762243_10208
10217,105756646,2.0,105756646_10217
10217,105756649,2.0,105756649_10217
10217,105756928,1.0,105756928_10217
10220,106590481,2.0,106590481_10220
10220,107199753,3.0,107199753_10220
10220,107281739,3.0,107281739_10220
10224,105753646,4.0,105753646_10224
10224,105753649,2.0,105753649_10224
10224,105760713,2.0,105760713_10224
10228,106281067,3.0,106281067_10228
10228,106499737,3.0,106499737_10228
10228,106506935,2.0,106506935_10228
10232,107336787,2.0,107336787_10232
10232,107394194,3.0,107394194_10232
10232,107794440,2.0,107794440_10232
10243,105760935,2.0,105760935_10243
10243,105763716,4.0,105763716_10243
10243,105764853,2.0,105764853_10243
10244,107714575,2.0,107714575_10244
10244,107716409,3.0,107716409_10244
